repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
qweq12yt/Citadel-Station-13,DL3008,DL,warning,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL4006,DL,warning,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL3008,DL,warning,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL3008,DL,warning,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL3008,DL,warning,2021,2461,61,User,DM,1137180
mingrui/qmk_firmware,DL3006,DL,warning,2019,101,5,User,C,168510
mingrui/qmk_firmware,DL3025,DL,warning,2019,101,5,User,C,168510
CASL0/c-vtapi,DL3027,DL,warning,2021,252,6,User,C,216
CASL0/c-vtapi,DL3027,DL,warning,2021,252,6,User,C,216
CASL0/c-vtapi,DL3025,DL,warning,2021,252,6,User,C,216
